CTV3ID,CTV3PreferredTermDesc,CTV3Source
14A6.,H/O: heart failure,CTV3Map_Code_And_Term
G1yz1,Rheumatic left ventricular failure,CTV3Map_Code_And_Term
G232.,Hypertensive heart&renal dis wth (congestive) heart failure,CTV3Map_Code_And_Term
G58..,Heart failure,CTV3Map_Code_And_Term
G58..,Heart failure,CTV3Map_Code_Only
G580.,Heart failure: [right] or [congestive],CTV3_Children
G5800,Acute congestive heart failure,CTV3Map_Code_And_Term
G5801,Chronic congestive heart failure,CTV3Map_Code_And_Term
G5802,Decompensated cardiac failure,CTV3Map_Code_And_Term
G5803,Compensated cardiac failure,CTV3Map_Code_And_Term
G581.,(L ventric:[fail][imp func]) or (card asth) or (ac pulm oed),High_Level_SNOMED
G5810,Acute left ventricular failure,CTV3_Children
G582.,Acute heart failure,CTV3_Children
G58z.,Heart: [weak] or [failure NOS],QOF
G5y4z,Post cardiac operation heart failure NOS,CTV3Map_Code_And_Term
Q48y1,Congenital cardiac failure,CTV3Map_Code_And_Term
SP111,[Cardiac insuffic] or [heart fail] as a complication of care,High_Level_SNOMED
X202k,Heart failure as a complication of care,CTV3Map_Code_And_Term
X202k,Heart failure as a complication of care,CTV3Map_Code_Only
X202l,Right ventricular failure,CTV3Map_Code_And_Term
X202l,Right ventricular failure,CTV3Map_Code_Only
XE0V8,Biventricular failure,CTV3Map_Code_And_Term
XE0V8,Biventricular failure,CTV3Map_Code_Only
XE0V9,Heart failure NOS,CTV3Map_Code_And_Term
XE0V9,Heart failure NOS,CTV3Map_Code_Only
XE1p9,Cardiac insufficiency as a complication of care,CTV3Map_Code_And_Term
XE1p9,Cardiac insufficiency as a complication of care,CTV3Map_Code_Only
XE2QG,Left ventricular failure,CTV3Map_Code_And_Term
XE2QG,Left ventricular failure,CTV3Map_Code_Only
XM1Qn,Impaired left ventricular function,CTV3Map_Code_And_Term
XM1Qn,Impaired left ventricular function,CTV3Map_Code_Only
Xa07h,Neonatal cardiac failure,High_Level_SNOMED
Xa0TT,Sepsis-associated left ventricular failure,High_Level_SNOMED
Xa0TU,Sepsis-associated right ventricular failure,High_Level_SNOMED
XaBLt,Cardiac failure therapy,CTV3Map_Code_And_Term
XaBwi,H/O: Heart failure in last year,CTV3Map_Code_And_Term
XaEgY,Refractory heart failure,CTV3_Children
XaIIq,Left ventricular systolic dysfunction,CTV3Map_Code_And_Term
