covid_vacc_date,total,40-49,30-39,18-29,70-79,50-54,55-59,60-64,80+,65-69,shielding (aged 16-69),16-17,care home,LD (aged 16-64)
2020 01 Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 02 Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 03 Dec,21.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2020 04 Dec,42.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2020 06 Dec,49.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
2020 07 Dec,63.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0
2020 08 Dec,2303.0,364.0,245.0,147.0,49.0,259.0,273.0,168.0,511.0,70.0,210.0,0.0,7.0,0.0
2020 09 Dec,6769.0,938.0,707.0,455.0,112.0,686.0,728.0,539.0,1932.0,182.0,469.0,0.0,21.0,0.0
2020 10 Dec,11697.0,1533.0,1211.0,777.0,189.0,1050.0,1113.0,896.0,3787.0,294.0,791.0,0.0,49.0,7.0
2020 11 Dec,16625.0,2170.0,1729.0,1106.0,259.0,1484.0,1505.0,1239.0,5537.0,427.0,1099.0,0.0,63.0,7.0
2020 12 Dec,21126.0,2898.0,2310.0,1449.0,315.0,1904.0,1925.0,1505.0,6797.0,525.0,1421.0,0.0,70.0,7.0
2020 13 Dec,24682.0,3409.0,2716.0,1750.0,357.0,2219.0,2233.0,1750.0,7945.0,609.0,1596.0,7.0,77.0,14.0
2020 14 Dec,29813.0,4074.0,3325.0,2093.0,441.0,2625.0,2688.0,2051.0,9821.0,721.0,1848.0,14.0,98.0,14.0
2020 15 Dec,55965.0,5229.0,4186.0,2625.0,644.0,3290.0,3402.0,2541.0,30520.0,938.0,2303.0,14.0,259.0,14.0
2020 16 Dec,97293.0,6559.0,5222.0,3374.0,917.0,4207.0,4375.0,3185.0,64967.0,1169.0,2744.0,21.0,532.0,21.0
2020 17 Dec,136493.0,8197.0,6454.0,4179.0,1540.0,5271.0,5537.0,4046.0,95648.0,1470.0,3283.0,35.0,805.0,28.0
2020 18 Dec,164822.0,9828.0,7644.0,4942.0,2128.0,6342.0,6622.0,4851.0,115682.0,1813.0,3850.0,42.0,1036.0,42.0
2020 19 Dec,195916.0,11165.0,8666.0,5607.0,2793.0,7161.0,7518.0,5572.0,139734.0,2128.0,4277.0,56.0,1190.0,49.0
2020 20 Dec,226135.0,13048.0,10010.0,6426.0,3346.0,8295.0,8813.0,6489.0,160944.0,2471.0,4788.0,70.0,1372.0,63.0
2020 21 Dec,250173.0,15393.0,11711.0,7490.0,3997.0,9842.0,10479.0,7630.0,173579.0,2891.0,5502.0,84.0,1505.0,70.0
2020 22 Dec,284305.0,17423.0,13356.0,8477.0,4613.0,11228.0,11872.0,8624.0,197295.0,3297.0,6230.0,91.0,1722.0,77.0
2020 23 Dec,314664.0,20153.0,15379.0,9905.0,5334.0,12887.0,13650.0,9926.0,214277.0,3808.0,7105.0,105.0,2044.0,91.0
2020 24 Dec,325227.0,21504.0,16492.0,10570.0,5649.0,13720.0,14483.0,10577.0,217980.0,4053.0,7518.0,112.0,2471.0,98.0
2020 25 Dec,325276.0,21511.0,16506.0,10577.0,5656.0,13727.0,14490.0,10577.0,217980.0,4053.0,7518.0,112.0,2471.0,98.0
2020 26 Dec,325598.0,21581.0,16576.0,10640.0,5656.0,13762.0,14525.0,10591.0,217987.0,4060.0,7539.0,112.0,2471.0,98.0
2020 27 Dec,327698.0,22029.0,16954.0,10857.0,5684.0,13993.0,14791.0,10773.0,218169.0,4130.0,7630.0,119.0,2471.0,98.0
2020 28 Dec,331394.0,22736.0,17605.0,11256.0,5782.0,14406.0,15141.0,11102.0,218631.0,4235.0,7812.0,119.0,2471.0,98.0
2020 29 Dec,348502.0,24619.0,19229.0,12257.0,6209.0,15540.0,16226.0,11893.0,226261.0,4571.0,8302.0,126.0,3157.0,112.0
2020 30 Dec,392756.0,28903.0,22680.0,14497.0,8330.0,18179.0,18935.0,13895.0,245371.0,5383.0,9716.0,154.0,6524.0,189.0
2020 31 Dec,430059.0,33110.0,25991.0,16758.0,10507.0,20748.0,21581.0,15736.0,259056.0,6195.0,11025.0,182.0,8897.0,273.0
2021 01 Jan,438536.0,34188.0,26978.0,17360.0,11060.0,21455.0,22204.0,16226.0,261548.0,6384.0,11340.0,189.0,9303.0,301.0
2021 02 Jan,447706.0,35560.0,28224.0,18144.0,11802.0,22246.0,22953.0,16723.0,263823.0,6566.0,11655.0,196.0,9492.0,322.0
