covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown,1 Most deprived_total,2_total,3_total,4_total,5 Least deprived_total,Unknown_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,793380,751485,708953,613375,513058,119273
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,793380,751485,708953,613375,513058,119273
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,793380,751485,708953,613375,513058,119273
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,793380,751485,708953,613375,513058,119273
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,793380,751485,708953,613375,513058,119273
2020-12-08,21.0,35.0,21.0,35.0,28.0,0.0,793380,751485,708953,613375,513058,119273
2020-12-09,91.0,91.0,91.0,84.0,70.0,21.0,793380,751485,708953,613375,513058,119273
2020-12-10,133.0,161.0,147.0,140.0,119.0,35.0,793380,751485,708953,613375,513058,119273
2020-12-11,203.0,231.0,217.0,196.0,168.0,42.0,793380,751485,708953,613375,513058,119273
2020-12-12,238.0,294.0,280.0,287.0,217.0,63.0,793380,751485,708953,613375,513058,119273
2020-12-13,294.0,343.0,336.0,343.0,259.0,77.0,793380,751485,708953,613375,513058,119273
2020-12-14,364.0,420.0,413.0,399.0,301.0,98.0,793380,751485,708953,613375,513058,119273
2020-12-15,462.0,511.0,525.0,490.0,378.0,119.0,793380,751485,708953,613375,513058,119273
2020-12-16,602.0,644.0,665.0,637.0,504.0,147.0,793380,751485,708953,613375,513058,119273
2020-12-17,763.0,812.0,826.0,784.0,609.0,168.0,793380,751485,708953,613375,513058,119273
2020-12-18,889.0,959.0,980.0,931.0,721.0,203.0,793380,751485,708953,613375,513058,119273
2020-12-19,980.0,1085.0,1113.0,1057.0,840.0,231.0,793380,751485,708953,613375,513058,119273
2020-12-20,1113.0,1239.0,1253.0,1204.0,987.0,266.0,793380,751485,708953,613375,513058,119273
2020-12-21,1344.0,1428.0,1442.0,1379.0,1141.0,315.0,793380,751485,708953,613375,513058,119273
2020-12-22,1484.0,1596.0,1638.0,1603.0,1295.0,378.0,793380,751485,708953,613375,513058,119273
2020-12-23,1708.0,1904.0,1925.0,1862.0,1526.0,441.0,793380,751485,708953,613375,513058,119273
2020-12-24,1792.0,2023.0,2037.0,2002.0,1659.0,469.0,793380,751485,708953,613375,513058,119273
2020-12-25,1792.0,2023.0,2037.0,2002.0,1659.0,476.0,793380,751485,708953,613375,513058,119273
2020-12-26,1799.0,2044.0,2051.0,2016.0,1666.0,476.0,793380,751485,708953,613375,513058,119273
2020-12-27,1841.0,2072.0,2093.0,2058.0,1694.0,490.0,793380,751485,708953,613375,513058,119273
2020-12-28,1904.0,2149.0,2170.0,2135.0,1764.0,497.0,793380,751485,708953,613375,513058,119273
2020-12-29,2072.0,2345.0,2373.0,2310.0,1890.0,553.0,793380,751485,708953,613375,513058,119273
2020-12-30,2464.0,2779.0,2800.0,2737.0,2219.0,658.0,793380,751485,708953,613375,513058,119273
2020-12-31,2835.0,3234.0,3220.0,3164.0,2555.0,756.0,793380,751485,708953,613375,513058,119273
2021-01-01,2926.0,3339.0,3353.0,3283.0,2639.0,777.0,793380,751485,708953,613375,513058,119273
2021-01-02,3052.0,3465.0,3528.0,3430.0,2758.0,819.0,793380,751485,708953,613375,513058,119273
2021-01-03,3164.0,3612.0,3675.0,3542.0,2870.0,847.0,793380,751485,708953,613375,513058,119273
2021-01-04,3346.0,3864.0,3934.0,3801.0,3073.0,903.0,793380,751485,708953,613375,513058,119273
2021-01-05,3654.0,4277.0,4389.0,4200.0,3451.0,1008.0,793380,751485,708953,613375,513058,119273
2021-01-06,4074.0,4865.0,5012.0,4760.0,3962.0,1162.0,793380,751485,708953,613375,513058,119273
2021-01-07,4725.0,5712.0,5901.0,5544.0,4669.0,1351.0,793380,751485,708953,613375,513058,119273
2021-01-08,5523.0,6685.0,6867.0,6461.0,5390.0,1568.0,793380,751485,708953,613375,513058,119273
2021-01-09,6202.0,7455.0,7735.0,7280.0,6062.0,1750.0,793380,751485,708953,613375,513058,119273
2021-01-10,6594.0,7987.0,8365.0,7861.0,6552.0,1869.0,793380,751485,708953,613375,513058,119273
2021-01-11,7224.0,8813.0,9254.0,8687.0,7336.0,2072.0,793380,751485,708953,613375,513058,119273
2021-01-12,8043.0,9849.0,10325.0,9681.0,8218.0,2324.0,793380,751485,708953,613375,513058,119273
2021-01-13,9044.0,11025.0,11529.0,10815.0,9156.0,2590.0,793380,751485,708953,613375,513058,119273
2021-01-14,10080.0,12292.0,12894.0,12033.0,10185.0,2905.0,793380,751485,708953,613375,513058,119273
2021-01-15,11291.0,13657.0,14434.0,13363.0,11361.0,3234.0,793380,751485,708953,613375,513058,119273
2021-01-16,12334.0,14896.0,15743.0,14525.0,12411.0,3500.0,793380,751485,708953,613375,513058,119273
2021-01-17,13083.0,15743.0,16702.0,15372.0,13153.0,3703.0,793380,751485,708953,613375,513058,119273
2021-01-18,14021.0,16870.0,17857.0,16478.0,14119.0,3948.0,793380,751485,708953,613375,513058,119273
2021-01-19,15057.0,18004.0,19264.0,17647.0,15120.0,4207.0,793380,751485,708953,613375,513058,119273
2021-01-20,16233.0,19397.0,20783.0,19019.0,16254.0,4515.0,793380,751485,708953,613375,513058,119273
2021-01-21,17570.0,20832.0,22274.0,20391.0,17402.0,4823.0,793380,751485,708953,613375,513058,119273
2021-01-22,19096.0,22428.0,23933.0,21966.0,18732.0,5145.0,793380,751485,708953,613375,513058,119273
2021-01-23,20223.0,23744.0,25382.0,23282.0,19817.0,5446.0,793380,751485,708953,613375,513058,119273
2021-01-24,20916.0,24535.0,26187.0,24017.0,20468.0,5579.0,793380,751485,708953,613375,513058,119273
2021-01-25,21742.0,25494.0,27195.0,24948.0,21224.0,5775.0,793380,751485,708953,613375,513058,119273
2021-01-26,22771.0,26614.0,28364.0,25928.0,22071.0,6055.0,793380,751485,708953,613375,513058,119273
2021-01-27,23751.0,27706.0,29421.0,26943.0,22883.0,6265.0,793380,751485,708953,613375,513058,119273
2021-01-28,24724.0,28791.0,30520.0,27937.0,23744.0,6482.0,793380,751485,708953,613375,513058,119273
2021-01-29,25760.0,29960.0,31689.0,28987.0,24577.0,6699.0,793380,751485,708953,613375,513058,119273
2021-01-30,26649.0,30884.0,32557.0,29820.0,25326.0,6881.0,793380,751485,708953,613375,513058,119273
2021-01-31,27272.0,31549.0,33264.0,30485.0,25886.0,7028.0,793380,751485,708953,613375,513058,119273
2021-02-01,27881.0,32179.0,33915.0,31122.0,26362.0,7126.0,793380,751485,708953,613375,513058,119273
2021-02-02,28483.0,32893.0,34608.0,31752.0,26922.0,7259.0,793380,751485,708953,613375,513058,119273
2021-02-03,29183.0,33663.0,35413.0,32466.0,27517.0,7399.0,793380,751485,708953,613375,513058,119273
2021-02-04,29967.0,34440.0,36232.0,33215.0,28168.0,7539.0,793380,751485,708953,613375,513058,119273
2021-02-05,30737.0,35252.0,37030.0,33880.0,28749.0,7686.0,793380,751485,708953,613375,513058,119273
2021-02-06,31367.0,35966.0,37737.0,34524.0,29316.0,7812.0,793380,751485,708953,613375,513058,119273
2021-02-07,31710.0,36344.0,38185.0,34895.0,29645.0,7889.0,793380,751485,708953,613375,513058,119273
2021-02-08,32158.0,36827.0,38626.0,35287.0,30002.0,7973.0,793380,751485,708953,613375,513058,119273
2021-02-09,32676.0,37352.0,39193.0,35798.0,30457.0,8085.0,793380,751485,708953,613375,513058,119273
2021-02-10,33229.0,37968.0,39823.0,36400.0,30954.0,8211.0,793380,751485,708953,613375,513058,119273
2021-02-11,33894.0,38752.0,40614.0,37079.0,31430.0,8344.0,793380,751485,708953,613375,513058,119273
2021-02-12,34685.0,39592.0,41433.0,37807.0,32032.0,8498.0,793380,751485,708953,613375,513058,119273
2021-02-13,35609.0,40558.0,42434.0,38647.0,32788.0,8694.0,793380,751485,708953,613375,513058,119273
2021-02-14,36057.0,40992.0,42924.0,39137.0,33215.0,8799.0,793380,751485,708953,613375,513058,119273
2021-02-15,36652.0,41615.0,43561.0,39676.0,33677.0,8911.0,793380,751485,708953,613375,513058,119273
2021-02-16,37548.0,42490.0,44485.0,40453.0,34363.0,9037.0,793380,751485,708953,613375,513058,119273
2021-02-17,38913.0,43820.0,45850.0,41552.0,35252.0,9275.0,793380,751485,708953,613375,513058,119273
