covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,38423,15897,30891,89894,165018,1239840
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,38423,15897,30891,89894,165018,1239840
2020-12-04,0.0,0.0,0.0,0.0,0.0,7.0,38423,15897,30891,89894,165018,1239840
2020-12-07,0.0,0.0,0.0,0.0,0.0,7.0,38423,15897,30891,89894,165018,1239840
2020-12-08,0.0,0.0,7.0,28.0,28.0,196.0,38423,15897,30891,89894,165018,1239840
2020-12-09,14.0,7.0,14.0,56.0,56.0,532.0,38423,15897,30891,89894,165018,1239840
2020-12-10,21.0,14.0,21.0,91.0,84.0,819.0,38423,15897,30891,89894,165018,1239840
2020-12-11,28.0,14.0,28.0,126.0,119.0,1155.0,38423,15897,30891,89894,165018,1239840
2020-12-12,35.0,21.0,42.0,161.0,147.0,1498.0,38423,15897,30891,89894,165018,1239840
2020-12-13,42.0,28.0,49.0,196.0,168.0,1729.0,38423,15897,30891,89894,165018,1239840
2020-12-14,42.0,28.0,56.0,245.0,217.0,2023.0,38423,15897,30891,89894,165018,1239840
2020-12-15,63.0,35.0,70.0,308.0,259.0,2548.0,38423,15897,30891,89894,165018,1239840
2020-12-16,77.0,49.0,91.0,378.0,336.0,3241.0,38423,15897,30891,89894,165018,1239840
2020-12-17,91.0,63.0,112.0,469.0,420.0,4060.0,38423,15897,30891,89894,165018,1239840
2020-12-18,119.0,77.0,133.0,595.0,497.0,4886.0,38423,15897,30891,89894,165018,1239840
2020-12-19,140.0,84.0,154.0,672.0,560.0,5516.0,38423,15897,30891,89894,165018,1239840
2020-12-20,161.0,98.0,175.0,791.0,658.0,6398.0,38423,15897,30891,89894,165018,1239840
2020-12-21,175.0,105.0,203.0,931.0,784.0,7602.0,38423,15897,30891,89894,165018,1239840
2020-12-22,196.0,119.0,238.0,1071.0,889.0,8652.0,38423,15897,30891,89894,165018,1239840
2020-12-23,217.0,140.0,280.0,1267.0,1029.0,9912.0,38423,15897,30891,89894,165018,1239840
2020-12-24,231.0,147.0,301.0,1372.0,1099.0,10528.0,38423,15897,30891,89894,165018,1239840
2020-12-25,231.0,147.0,301.0,1379.0,1099.0,10528.0,38423,15897,30891,89894,165018,1239840
2020-12-26,231.0,154.0,301.0,1386.0,1106.0,10549.0,38423,15897,30891,89894,165018,1239840
2020-12-27,238.0,154.0,308.0,1400.0,1120.0,10731.0,38423,15897,30891,89894,165018,1239840
2020-12-28,245.0,161.0,315.0,1442.0,1148.0,11046.0,38423,15897,30891,89894,165018,1239840
