covid_vacc_date,no,yes,no_total,yes_total
2020-12-02,0.0,0.0,1075333,11767
2020-12-03,7.0,0.0,1075333,11767
2020-12-04,7.0,0.0,1075333,11767
2020-12-08,77.0,0.0,1075333,11767
2020-12-09,210.0,0.0,1075333,11767
2020-12-10,343.0,0.0,1075333,11767
2020-12-11,483.0,0.0,1075333,11767
2020-12-12,588.0,0.0,1075333,11767
2020-12-13,686.0,0.0,1075333,11767
2020-12-14,812.0,0.0,1075333,11767
2020-12-15,1043.0,0.0,1075333,11767
2020-12-16,1309.0,0.0,1075333,11767
2020-12-17,1652.0,7.0,1075333,11767
2020-12-18,2044.0,7.0,1075333,11767
2020-12-19,2387.0,7.0,1075333,11767
2020-12-20,2765.0,14.0,1075333,11767
2020-12-21,3248.0,14.0,1075333,11767
2020-12-22,3696.0,14.0,1075333,11767
2020-12-23,4263.0,14.0,1075333,11767
2020-12-24,4543.0,14.0,1075333,11767
2020-12-25,4543.0,14.0,1075333,11767
2020-12-26,4550.0,14.0,1075333,11767
2020-12-27,4620.0,14.0,1075333,11767
2020-12-28,4746.0,14.0,1075333,11767
2020-12-29,5110.0,21.0,1075333,11767
2020-12-30,6006.0,28.0,1075333,11767
2020-12-31,6874.0,28.0,1075333,11767
2021-01-01,7077.0,35.0,1075333,11767
2021-01-02,7280.0,35.0,1075333,11767
2021-01-03,7441.0,35.0,1075333,11767
2021-01-04,7756.0,35.0,1075333,11767
2021-01-05,8372.0,35.0,1075333,11767
2021-01-06,9338.0,42.0,1075333,11767
2021-01-07,10892.0,49.0,1075333,11767
2021-01-08,12558.0,63.0,1075333,11767
2021-01-09,14126.0,70.0,1075333,11767
2021-01-10,14910.0,70.0,1075333,11767
2021-01-11,15883.0,84.0,1075333,11767
2021-01-12,17213.0,91.0,1075333,11767
2021-01-13,18851.0,98.0,1075333,11767
2021-01-14,20825.0,119.0,1075333,11767
2021-01-15,23163.0,133.0,1075333,11767
2021-01-16,25130.0,140.0,1075333,11767
2021-01-17,26376.0,147.0,1075333,11767
2021-01-18,27783.0,161.0,1075333,11767
2021-01-19,29750.0,175.0,1075333,11767
2021-01-20,32102.0,210.0,1075333,11767
2021-01-21,34853.0,238.0,1075333,11767
2021-01-22,38640.0,273.0,1075333,11767
2021-01-23,41923.0,301.0,1075333,11767
2021-01-24,44086.0,315.0,1075333,11767
2021-01-25,45899.0,329.0,1075333,11767
2021-01-26,48167.0,350.0,1075333,11767
2021-01-27,50827.0,385.0,1075333,11767
2021-01-28,54299.0,427.0,1075333,11767
2021-01-29,58611.0,469.0,1075333,11767
2021-01-30,62097.0,504.0,1075333,11767
2021-01-31,65590.0,525.0,1075333,11767
2021-02-01,70805.0,574.0,1075333,11767
2021-02-02,76447.0,637.0,1075333,11767
2021-02-03,83783.0,714.0,1075333,11767
2021-02-04,93072.0,812.0,1075333,11767
2021-02-05,103089.0,938.0,1075333,11767
2021-02-06,117327.0,1064.0,1075333,11767
2021-02-07,125755.0,1148.0,1075333,11767
2021-02-08,136157.0,1253.0,1075333,11767
2021-02-09,160797.0,1463.0,1075333,11767
2021-02-10,200942.0,1799.0,1075333,11767
2021-02-11,258531.0,2296.0,1075333,11767
2021-02-12,324877.0,2884.0,1075333,11767
2021-02-13,401121.0,3563.0,1075333,11767
2021-02-14,435148.0,3801.0,1075333,11767
2021-02-15,472458.0,4095.0,1075333,11767
2021-02-16,523908.0,4550.0,1075333,11767
2021-02-17,582351.0,5110.0,1075333,11767
2021-02-18,628194.0,5600.0,1075333,11767
2021-02-19,663775.0,5950.0,1075333,11767
2021-02-20,695037.0,6258.0,1075333,11767
2021-02-21,706958.0,6391.0,1075333,11767
2021-02-22,723317.0,6580.0,1075333,11767
2021-02-23,743057.0,6804.0,1075333,11767
2021-02-24,770000.0,7119.0,1075333,11767
2021-02-25,796082.0,7441.0,1075333,11767
2021-02-26,823130.0,7763.0,1075333,11767
2021-02-27,842779.0,7966.0,1075333,11767
2021-02-28,853846.0,8043.0,1075333,11767
2021-03-01,861819.0,8127.0,1075333,11767
2021-03-02,870163.0,8218.0,1075333,11767
2021-03-03,879361.0,8337.0,1075333,11767
2021-03-04,892003.0,8498.0,1075333,11767
2021-03-05,904351.0,8673.0,1075333,11767
2021-03-06,915621.0,8827.0,1075333,11767
2021-03-07,919058.0,8862.0,1075333,11767
2021-03-08,923881.0,8918.0,1075333,11767
2021-03-09,928144.0,8981.0,1075333,11767
2021-03-10,932211.0,9051.0,1075333,11767
2021-03-11,935823.0,9100.0,1075333,11767
2021-03-12,941297.0,9191.0,1075333,11767
2021-03-13,947947.0,9289.0,1075333,11767
2021-03-14,951384.0,9331.0,1075333,11767
2021-03-15,955605.0,9394.0,1075333,11767
2021-03-16,959168.0,9450.0,1075333,11767
2021-03-17,962017.0,9506.0,1075333,11767
2021-03-18,965041.0,9562.0,1075333,11767
2021-03-19,967792.0,9611.0,1075333,11767
2021-03-20,971432.0,9681.0,1075333,11767
2021-03-21,972517.0,9695.0,1075333,11767
2021-03-22,973763.0,9723.0,1075333,11767
2021-03-23,975051.0,9758.0,1075333,11767
2021-03-24,976402.0,9779.0,1075333,11767
2021-03-25,977767.0,9814.0,1075333,11767
2021-03-26,979069.0,9849.0,1075333,11767
2021-03-27,980756.0,9877.0,1075333,11767
2021-03-28,981512.0,9898.0,1075333,11767
2021-03-29,982331.0,9905.0,1075333,11767
2021-03-30,983241.0,9926.0,1075333,11767
2021-03-31,984088.0,9947.0,1075333,11767
2021-04-01,984648.0,9968.0,1075333,11767
2021-04-02,984921.0,9975.0,1075333,11767
2021-04-03,985215.0,9975.0,1075333,11767
2021-04-04,985341.0,9975.0,1075333,11767
2021-04-05,985425.0,9975.0,1075333,11767
2021-04-06,985670.0,9975.0,1075333,11767
2021-04-07,986027.0,9989.0,1075333,11767
2021-04-08,986398.0,10003.0,1075333,11767
2021-04-09,986825.0,10010.0,1075333,11767
2021-04-10,987203.0,10024.0,1075333,11767
2021-04-11,987357.0,10024.0,1075333,11767
2021-04-12,987560.0,10024.0,1075333,11767
2021-04-13,987777.0,10031.0,1075333,11767
2021-04-14,987987.0,10038.0,1075333,11767
2021-04-15,988225.0,10045.0,1075333,11767
2021-04-16,988456.0,10052.0,1075333,11767
2021-04-17,988701.0,10059.0,1075333,11767
2021-04-18,988799.0,10059.0,1075333,11767
2021-04-19,988925.0,10059.0,1075333,11767
2021-04-20,989100.0,10066.0,1075333,11767
2021-04-21,989289.0,10073.0,1075333,11767
2021-04-22,989471.0,10080.0,1075333,11767
2021-04-23,989702.0,10087.0,1075333,11767
2021-04-24,989933.0,10087.0,1075333,11767
2021-04-25,990038.0,10094.0,1075333,11767
2021-04-26,990178.0,10094.0,1075333,11767
2021-04-27,990353.0,10101.0,1075333,11767
2021-04-28,990570.0,10108.0,1075333,11767
2021-04-29,990836.0,10115.0,1075333,11767
2021-04-30,991039.0,10129.0,1075333,11767
2021-05-01,991228.0,10129.0,1075333,11767
2021-05-02,991326.0,10129.0,1075333,11767
2021-05-03,991403.0,10129.0,1075333,11767
2021-05-04,991550.0,10136.0,1075333,11767
2021-05-05,991760.0,10136.0,1075333,11767
2021-05-06,992068.0,10143.0,1075333,11767
2021-05-07,992306.0,10143.0,1075333,11767
2021-05-08,992502.0,10150.0,1075333,11767
2021-05-09,992607.0,10157.0,1075333,11767
2021-05-10,992782.0,10157.0,1075333,11767
2021-05-11,992992.0,10164.0,1075333,11767
2021-05-12,993251.0,10171.0,1075333,11767
2021-05-13,993496.0,10178.0,1075333,11767
2021-05-14,993741.0,10178.0,1075333,11767
2021-05-15,993972.0,10185.0,1075333,11767
2021-05-16,994091.0,10185.0,1075333,11767
2021-05-17,994224.0,10185.0,1075333,11767
2021-05-18,994427.0,10185.0,1075333,11767
2021-05-19,994707.0,10192.0,1075333,11767
2021-05-20,994966.0,10199.0,1075333,11767
2021-05-21,995141.0,10206.0,1075333,11767
2021-05-22,995344.0,10206.0,1075333,11767
2021-05-23,995435.0,10206.0,1075333,11767
2021-05-24,995568.0,10213.0,1075333,11767
2021-05-25,995736.0,10220.0,1075333,11767
2021-05-26,995918.0,10220.0,1075333,11767
2021-05-27,996107.0,10227.0,1075333,11767
2021-05-28,996268.0,10234.0,1075333,11767
2021-05-29,996422.0,10241.0,1075333,11767
2021-05-30,996520.0,10241.0,1075333,11767
2021-05-31,996576.0,10241.0,1075333,11767
2021-06-01,996667.0,10241.0,1075333,11767
2021-06-02,996779.0,10248.0,1075333,11767
2021-06-03,996898.0,10248.0,1075333,11767
2021-06-04,997031.0,10255.0,1075333,11767
2021-06-05,997157.0,10255.0,1075333,11767
2021-06-06,997234.0,10255.0,1075333,11767
