covid_vacc_date,no,yes,no_total,yes_total
2020-12-01,0.0,0.0,1078847,8022
2020-12-03,0.0,0.0,1078847,8022
2020-12-04,0.0,0.0,1078847,8022
2020-12-07,0.0,0.0,1078847,8022
2020-12-08,497.0,0.0,1078847,8022
2020-12-09,1869.0,14.0,1078847,8022
2020-12-10,3661.0,21.0,1078847,8022
2020-12-11,5362.0,35.0,1078847,8022
2020-12-12,6580.0,42.0,1078847,8022
2020-12-13,7686.0,42.0,1078847,8022
2020-12-14,9513.0,56.0,1078847,8022
2020-12-15,29603.0,154.0,1078847,8022
2020-12-16,62951.0,315.0,1078847,8022
2020-12-17,92841.0,490.0,1078847,8022
2020-12-18,112259.0,595.0,1078847,8022
2020-12-19,135646.0,714.0,1078847,8022
2020-12-20,156296.0,805.0,1078847,8022
2020-12-21,168539.0,889.0,1078847,8022
2020-12-22,191898.0,1022.0,1078847,8022
2020-12-23,208460.0,1113.0,1078847,8022
2020-12-24,212037.0,1141.0,1078847,8022
2020-12-25,212037.0,1141.0,1078847,8022
2020-12-26,212044.0,1141.0,1078847,8022
2020-12-27,212226.0,1141.0,1078847,8022
2020-12-28,212674.0,1141.0,1078847,8022
2020-12-29,220122.0,1176.0,1078847,8022
2020-12-30,238378.0,1274.0,1078847,8022
2020-12-31,251279.0,1337.0,1078847,8022
2021-01-01,253631.0,1344.0,1078847,8022
2021-01-02,255843.0,1358.0,1078847,8022
2021-01-03,257271.0,1372.0,1078847,8022
2021-01-04,258552.0,1379.0,1078847,8022
2021-01-05,261380.0,1400.0,1078847,8022
2021-01-06,268513.0,1442.0,1078847,8022
2021-01-07,301560.0,1624.0,1078847,8022
2021-01-08,340802.0,1855.0,1078847,8022
2021-01-09,376040.0,2093.0,1078847,8022
2021-01-10,392308.0,2205.0,1078847,8022
2021-01-11,399826.0,2254.0,1078847,8022
2021-01-12,422961.0,2373.0,1078847,8022
2021-01-13,459683.0,2569.0,1078847,8022
2021-01-14,496678.0,2835.0,1078847,8022
2021-01-15,543795.0,3136.0,1078847,8022
2021-01-16,599837.0,3472.0,1078847,8022
2021-01-17,623707.0,3612.0,1078847,8022
2021-01-18,636405.0,3703.0,1078847,8022
2021-01-19,677012.0,3976.0,1078847,8022
2021-01-20,721007.0,4284.0,1078847,8022
2021-01-21,759052.0,4592.0,1078847,8022
2021-01-22,809711.0,4956.0,1078847,8022
2021-01-23,853419.0,5292.0,1078847,8022
2021-01-24,866243.0,5383.0,1078847,8022
2021-01-25,878164.0,5502.0,1078847,8022
2021-01-26,892703.0,5635.0,1078847,8022
2021-01-27,904589.0,5768.0,1078847,8022
2021-01-28,920381.0,5908.0,1078847,8022
2021-01-29,937545.0,6055.0,1078847,8022
2021-01-30,950642.0,6202.0,1078847,8022
2021-01-31,956235.0,6258.0,1078847,8022
2021-02-01,962213.0,6328.0,1078847,8022
2021-02-02,967897.0,6405.0,1078847,8022
2021-02-03,973637.0,6482.0,1078847,8022
2021-02-04,979153.0,6559.0,1078847,8022
2021-02-05,984403.0,6629.0,1078847,8022
2021-02-06,988288.0,6671.0,1078847,8022
2021-02-07,990052.0,6699.0,1078847,8022
2021-02-08,992873.0,6748.0,1078847,8022
2021-02-09,996254.0,6804.0,1078847,8022
