covid_vacc_date,no,yes,no_total,yes_total
2020-12-01,0.0,0.0,791252.0,26754.0
2020-12-03,0.0,0.0,791252.0,26754.0
2020-12-08,203.0,0.0,791252.0,26754.0
2020-12-09,455.0,0.0,791252.0,26754.0
2020-12-10,763.0,0.0,791252.0,26754.0
2020-12-11,1057.0,0.0,791252.0,26754.0
2020-12-12,1365.0,0.0,791252.0,26754.0
2020-12-13,1540.0,0.0,791252.0,26754.0
2020-12-14,1785.0,0.0,791252.0,26754.0
2020-12-15,2233.0,0.0,791252.0,26754.0
2020-12-16,2646.0,0.0,791252.0,26754.0
2020-12-17,3178.0,7.0,791252.0,26754.0
2020-12-18,3724.0,14.0,791252.0,26754.0
2020-12-19,4144.0,14.0,791252.0,26754.0
2020-12-20,4627.0,14.0,791252.0,26754.0
2020-12-21,5320.0,14.0,791252.0,26754.0
2020-12-22,6027.0,21.0,791252.0,26754.0
2020-12-23,6860.0,21.0,791252.0,26754.0
2020-12-24,7252.0,28.0,791252.0,26754.0
2020-12-25,7252.0,28.0,791252.0,26754.0
2020-12-26,7273.0,28.0,791252.0,26754.0
2020-12-27,7343.0,28.0,791252.0,26754.0
2020-12-28,7518.0,28.0,791252.0,26754.0
2020-12-29,7987.0,35.0,791252.0,26754.0
2020-12-30,9303.0,98.0,791252.0,26754.0
2020-12-31,10514.0,175.0,791252.0,26754.0
2021-01-01,10794.0,196.0,791252.0,26754.0
2021-01-02,11095.0,217.0,791252.0,26754.0
2021-01-03,11305.0,224.0,791252.0,26754.0
2021-01-04,11774.0,231.0,791252.0,26754.0
2021-01-05,12656.0,245.0,791252.0,26754.0
2021-01-06,13790.0,280.0,791252.0,26754.0
2021-01-07,15603.0,350.0,791252.0,26754.0
2021-01-08,17696.0,469.0,791252.0,26754.0
2021-01-09,19712.0,532.0,791252.0,26754.0
2021-01-10,20678.0,553.0,791252.0,26754.0
2021-01-11,22365.0,609.0,791252.0,26754.0
2021-01-12,24283.0,742.0,791252.0,26754.0
2021-01-13,26278.0,924.0,791252.0,26754.0
2021-01-14,28651.0,1120.0,791252.0,26754.0
2021-01-15,31983.0,1400.0,791252.0,26754.0
2021-01-16,34713.0,1547.0,791252.0,26754.0
2021-01-17,36386.0,1603.0,791252.0,26754.0
2021-01-18,38213.0,1750.0,791252.0,26754.0
2021-01-19,41076.0,2016.0,791252.0,26754.0
2021-01-20,45143.0,2254.0,791252.0,26754.0
2021-01-21,50596.0,2583.0,791252.0,26754.0
2021-01-22,58205.0,3213.0,791252.0,26754.0
2021-01-23,66409.0,3619.0,791252.0,26754.0
2021-01-24,70462.0,3745.0,791252.0,26754.0
2021-01-25,74081.0,3920.0,791252.0,26754.0
2021-01-26,79562.0,4193.0,791252.0,26754.0
2021-01-27,85778.0,4529.0,791252.0,26754.0
2021-01-28,97125.0,4977.0,791252.0,26754.0
2021-01-29,110131.0,5516.0,791252.0,26754.0
2021-01-30,127120.0,5978.0,791252.0,26754.0
2021-01-31,136885.0,6230.0,791252.0,26754.0
2021-02-01,147231.0,6510.0,791252.0,26754.0
2021-02-02,160741.0,6937.0,791252.0,26754.0
2021-02-03,181195.0,7574.0,791252.0,26754.0
2021-02-04,205723.0,8407.0,791252.0,26754.0
2021-02-05,231112.0,9268.0,791252.0,26754.0
2021-02-06,271971.0,10381.0,791252.0,26754.0
2021-02-07,290262.0,10871.0,791252.0,26754.0
2021-02-08,307979.0,11438.0,791252.0,26754.0
2021-02-09,330407.0,12236.0,791252.0,26754.0
2021-02-10,353710.0,13104.0,791252.0,26754.0
2021-02-11,379281.0,14133.0,791252.0,26754.0
2021-02-12,401541.0,15078.0,791252.0,26754.0
2021-02-13,421736.0,15792.0,791252.0,26754.0
2021-02-14,428463.0,15960.0,791252.0,26754.0
2021-02-15,434357.0,16191.0,791252.0,26754.0
2021-02-16,443555.0,16548.0,791252.0,26754.0
2021-02-17,455560.0,16989.0,791252.0,26754.0
2021-02-18,467299.0,17325.0,791252.0,26754.0
2021-02-19,477554.0,17703.0,791252.0,26754.0
2021-02-20,487739.0,17976.0,791252.0,26754.0
2021-02-21,492051.0,18060.0,791252.0,26754.0
2021-02-22,497805.0,18221.0,791252.0,26754.0
2021-02-23,509502.0,18536.0,791252.0,26754.0
2021-02-24,525112.0,19103.0,791252.0,26754.0
2021-02-25,544005.0,19600.0,791252.0,26754.0
2021-02-26,562940.0,20111.0,791252.0,26754.0
2021-02-27,577570.0,20419.0,791252.0,26754.0
2021-02-28,583275.0,20517.0,791252.0,26754.0
2021-03-01,587692.0,20643.0,791252.0,26754.0
2021-03-02,592179.0,20804.0,791252.0,26754.0
2021-03-03,598878.0,21042.0,791252.0,26754.0
2021-03-04,607628.0,21364.0,791252.0,26754.0
2021-03-05,615825.0,21679.0,791252.0,26754.0
2021-03-06,624358.0,21924.0,791252.0,26754.0
2021-03-07,626759.0,21959.0,791252.0,26754.0
2021-03-08,629531.0,22036.0,791252.0,26754.0
2021-03-09,632520.0,22155.0,791252.0,26754.0
2021-03-10,635026.0,22260.0,791252.0,26754.0
2021-03-11,635026.0,22260.0,791252.0,26754.0
