covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown,1 Most deprived_total,2_total,3_total,4_total,5 Least deprived_total,Unknown_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-08,42.0,42.0,35.0,42.0,42.0,7.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-09,98.0,84.0,77.0,105.0,77.0,14.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-10,168.0,154.0,147.0,147.0,133.0,28.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-11,238.0,210.0,203.0,196.0,182.0,35.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-12,294.0,273.0,266.0,266.0,245.0,49.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-13,329.0,301.0,308.0,301.0,280.0,49.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-14,371.0,357.0,364.0,343.0,315.0,56.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-15,476.0,434.0,455.0,427.0,399.0,63.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-16,574.0,504.0,553.0,511.0,469.0,70.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-17,686.0,595.0,672.0,616.0,567.0,84.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-18,784.0,714.0,798.0,728.0,658.0,105.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-19,868.0,784.0,875.0,812.0,749.0,112.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-20,987.0,903.0,959.0,889.0,826.0,133.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-21,1183.0,1036.0,1078.0,1022.0,917.0,161.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-22,1323.0,1190.0,1197.0,1169.0,1036.0,196.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-23,1533.0,1379.0,1365.0,1316.0,1162.0,217.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-24,1617.0,1463.0,1449.0,1393.0,1225.0,231.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-25,1617.0,1463.0,1449.0,1393.0,1225.0,231.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-26,1624.0,1477.0,1449.0,1400.0,1225.0,231.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-27,1638.0,1498.0,1463.0,1407.0,1246.0,231.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-28,1680.0,1540.0,1491.0,1435.0,1281.0,231.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-29,1806.0,1645.0,1596.0,1498.0,1351.0,252.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-30,2128.0,1953.0,1925.0,1750.0,1519.0,280.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2020-12-31,2499.0,2205.0,2170.0,1981.0,1701.0,308.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-01,2562.0,2275.0,2247.0,2037.0,1743.0,315.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-02,2639.0,2359.0,2296.0,2093.0,1785.0,322.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-03,2674.0,2408.0,2352.0,2135.0,1813.0,329.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-04,2779.0,2527.0,2436.0,2233.0,1904.0,343.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-05,2961.0,2709.0,2653.0,2394.0,2044.0,371.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-06,3185.0,3010.0,2898.0,2604.0,2212.0,413.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-07,3647.0,3437.0,3255.0,2961.0,2464.0,462.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-08,4270.0,3948.0,3717.0,3297.0,2751.0,511.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-09,4746.0,4438.0,4144.0,3675.0,3038.0,567.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
2021-01-10,4949.0,4641.0,4361.0,3878.0,3199.0,595.0,244293.0,187698.0,157990.0,124019.0,96362.0,20237.0
