Category,Group,Second Doses due at 22 Jun 2022 (n),Second doses overdue (n),Second doses given (n),Second doses given (% of due),Total population
overall,overall,2429483,82194,2347289,96.6,3024098
Sex,F,1230173,36400,1193773,97.0,1445206
Sex,M,1199268,45794,1153474,96.2,1578836
Ethnicity (broad categories),Black,65513,4354,61159,93.4,98042
Ethnicity (broad categories),Mixed,32235,1708,30527,94.69999999999999,45906
Ethnicity (broad categories),Other,68138,3682,64456,94.6,101185
Ethnicity (broad categories),South Asian,228613,10234,218379,95.5,290255
Ethnicity (broad categories),Unknown,174496,6076,168420,96.5,263249
Ethnicity (broad categories),White,1860439,56126,1804313,97.0,2225398
Ethnicity (detailed categories), African,43792,2786,41006,93.60000000000001,62230
Ethnicity (detailed categories), Bangladeshi or British Bangladeshi,16982,672,16310,96.0,20377
Ethnicity (detailed categories), Caribbean,7770,616,7154,92.10000000000001,14749
Ethnicity (detailed categories), Chinese,18382,994,17388,94.6,25949
Ethnicity (detailed categories), Other,49756,2688,47068,94.6,75236
Ethnicity (detailed categories), Other Asian,52836,2422,50414,95.39999999999999,68502
Ethnicity (detailed categories),British or Mixed British,1614375,45465,1568910,97.2,1820847
Ethnicity (detailed categories),Indian or British Indian,94962,3458,91504,96.39999999999999,120582
Ethnicity (detailed categories),Irish,11634,462,11172,96.0,15316
Ethnicity (detailed categories),Other Black,13951,952,12999,93.2,21063
Ethnicity (detailed categories),Other White,234395,10199,224196,95.6,389207
Ethnicity (detailed categories),Other mixed,12649,679,11970,94.6,18501
Ethnicity (detailed categories),Pakistani or British Pakistani,63819,3675,60144,94.19999999999999,80780
Ethnicity (detailed categories),Unknown,174538,6076,168462,96.5,263291
Ethnicity (detailed categories),White + Asian,6993,259,6734,96.3,8995
Ethnicity (detailed categories),White + Black African,7567,441,7126,94.19999999999999,10570
Ethnicity (detailed categories),White + Black Caribbean,5026,336,4690,93.30000000000001,7840
Index of Multiple Deprivation (quintiles),1 Most deprived,426181,23219,402962,94.6,592557
Index of Multiple Deprivation (quintiles),2,455084,18130,436954,96.0,594314
Index of Multiple Deprivation (quintiles),3,500227,15421,484806,96.89999999999999,619794
Index of Multiple Deprivation (quintiles),4,492786,12572,480214,97.39999999999999,584479
Index of Multiple Deprivation (quintiles),5 Least deprived,479983,9814,470169,98.0,543669
Index of Multiple Deprivation (quintiles),Unknown,75173,3024,72149,96.0,89229
BMI,30+,460824,13167,447657,97.1,517314
BMI,under 30,1968610,69013,1899597,96.5,2506721
Chronic cardiac disease,no,2394448,80927,2313521,96.6,2983624
Chronic cardiac disease,yes,34993,1267,33726,96.39999999999999,40418
Current COPD,no,2416442,81543,2334899,96.6,3008600
Current COPD,yes,12992,637,12355,95.1,15442
DMARDs,no,2404983,81683,2323300,96.6,2996910
DMARDs,yes,24451,497,23954,98.0,27132
"Psychosis, schizophrenia, or bipolar",no,2399250,80367,2318883,96.7,2985941
"Psychosis, schizophrenia, or bipolar",yes,30191,1820,28371,94.0,38094
SSRI (last 12 months),no,2260853,76699,2184154,96.6,2838052
SSRI (last 12 months),yes,168588,5488,163100,96.7,185983
Chronic kidney disease,no,2419704,81914,2337790,96.6,3013087
Chronic kidney disease,yes,9737,280,9457,97.1,10955
Immune-mediated inflammatory disease,no,2283162,78029,2205133,96.6,2856308
Immune-mediated inflammatory disease,yes,146272,4151,142121,97.2,167734
brand of first dose,Moderna,97608,9527,88081,90.2,99624
brand of first dose,Oxford-AZ,1557983,24192,1533791,98.4,1558004
brand of first dose,Pfizer,770028,47971,722057,93.8,772737
brand of first dose,Unknown,3822,504,3318,86.8,3864
