Category,Group,Vaccinated at 22 Jun 2022 (n),Vaccinated at 22 Jun 2022 (%),Total eligible,Previous week's vaccination coverage (%),Vaccinated over last 7d (%)
overall,overall,1414945,90.2,1568266,90.2,0.0
Sex,F,709646,92.0,771442,92.0,0.0
Sex,M,705292,88.5,796817,88.5,0.0
Ethnicity (broad categories),Black,25403,72.8,34874,72.8,0.0
Ethnicity (broad categories),Mixed,11039,79.7,13853,79.7,0.0
Ethnicity (broad categories),Other,19761,76.6,25809,76.6,0.0
Ethnicity (broad categories),South Asian,58541,87.8,66710,87.7,0.1
Ethnicity (broad categories),Unknown,104300,78.2,133378,78.2,0.0
Ethnicity (broad categories),White,1195880,92.4,1293635,92.4,0.0
Ethnicity (detailed categories), African,11466,76.3,15022,76.3,0.0
Ethnicity (detailed categories), Bangladeshi or British Bangladeshi,3038,89.7,3388,89.7,0.0
Ethnicity (detailed categories), Caribbean,7406,66.9,11074,66.9,0.0
Ethnicity (detailed categories), Chinese,5957,80.6,7392,80.5,0.1
Ethnicity (detailed categories), Other,13797,75.0,18403,75.0,0.0
Ethnicity (detailed categories), Other Asian,14434,85.8,16821,85.8,0.0
Ethnicity (detailed categories),British or Mixed British,1113553,94.0,1184078,94.0,0.0
Ethnicity (detailed categories),Indian or British Indian,27580,89.7,30730,89.7,0.0
Ethnicity (detailed categories),Irish,7588,87.6,8666,87.6,0.0
Ethnicity (detailed categories),Other Black,6538,74.5,8778,74.5,0.0
Ethnicity (detailed categories),Other White,74753,74.1,100912,74.1,0.0
Ethnicity (detailed categories),Other mixed,3948,78.9,5005,78.9,0.0
Ethnicity (detailed categories),Pakistani or British Pakistani,13489,85.6,15764,85.6,0.0
Ethnicity (detailed categories),Unknown,104307,78.2,133378,78.2,0.0
Ethnicity (detailed categories),White + Asian,2268,87.3,2597,87.1,0.2
Ethnicity (detailed categories),White + Black African,2128,79.2,2688,79.2,0.0
Ethnicity (detailed categories),White + Black Caribbean,2688,75.6,3556,75.6,0.0
Index of Multiple Deprivation (quintiles),1 Most deprived,215915,84.7,254800,84.7,0.0
Index of Multiple Deprivation (quintiles),2,252903,88.2,286832,88.2,0.0
Index of Multiple Deprivation (quintiles),3,307230,90.7,338611,90.7,0.0
Index of Multiple Deprivation (quintiles),4,309400,92.2,335496,92.2,0.0
Index of Multiple Deprivation (quintiles),5 Least deprived,297437,93.9,316785,93.9,0.0
Index of Multiple Deprivation (quintiles),Unknown,32053,89.7,35728,89.7,0.0
BMI,30+,347032,94.3,368158,94.3,0.0
BMI,under 30,1067906,89.0,1200094,89.0,0.0
Chronic cardiac disease,no,1344924,90.1,1492960,90.1,0.0
Chronic cardiac disease,yes,70014,93.0,75292,93.0,0.0
Current COPD,no,1388233,90.2,1539125,90.2,0.0
Current COPD,yes,26705,91.7,29127,91.7,0.0
DMARDs,no,1393266,90.2,1545369,90.2,0.0
DMARDs,yes,21665,94.7,22883,94.7,0.0
"Psychosis, schizophrenia, or bipolar",no,1397914,90.3,1548407,90.3,0.0
"Psychosis, schizophrenia, or bipolar",yes,17017,85.7,19845,85.7,0.0
SSRI (last 12 months),no,1307348,89.8,1455097,89.8,0.0
SSRI (last 12 months),yes,107590,95.1,113155,95.1,0.0
Chronic kidney disease,no,1394372,90.2,1546279,90.2,0.0
Chronic kidney disease,yes,20566,93.6,21973,93.6,0.0
Immune-mediated inflammatory disease,no,1314600,90.0,1460907,90.0,0.0
Immune-mediated inflammatory disease,yes,100338,93.5,107345,93.5,0.0
